id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
5,Владимирская область,2018,1390199,109.9,230344,751588,408267,13276,15625,16041,15364,15251,16017,15191,14593,14596,14699,14048,13107,12918,12963,13589,13066,12471,12023,11065,11330,10956,11918,12420,13118,13605,15551,17019,19641,20615,21621,23416,23275,21875,22320,22720,21456,20345,21276,20818,20254,19382,20023,20435,19593,18656,19199,18513,19149,17245,16977,16686,18120,18420,18979,20122,21507,22572,23275,23176,23248,22285,21043,21607,21793,18631,18389,17582,17905,17897,14523,13590,11992,7437,5429,4303,6805,11650,10892,11463,11074,10405,7471,6502,4825,4166,4253,3786,3578,3004,2499,2074,1457,1147,736,494,269,168,120,49,55,122
6,Воронежская область,2018,2343149,108.7,365706,1302933,674510,22300,24876,25767,25476,25225,25799,24375,23435,23725,22959,21478,19836,19965,20765,20125,19600,19365,20479,20046,21326,22064,23419,24180,25792,26899,31305,32557,36835,37855,39605,40634,40488,39064,38832,38793,35724,34446,35926,33099,32814,32152,33048,32814,32259,30557,31411,30260,31021,28586,28858,28483,30104,30582,31387,34525,35855,37496,39914,37972,37945,37121,35545,34080,33609,29690,30867,28605,28062,30502,24440,20873,20235,10838,7991,7989,12182,19319,19605,20178,19654,15967,13977,10977,7040,6698,7992,6974,6975,5624,4915,3690,2888,1870,1461,948,478,251,209,92,86,170
7,Ивановская область,2018,980565,106.0,159674,532635,288256,9220,10379,10639,10558,10807,10658,10031,10155,10597,10442,9939,9187,9103,9133,9522,9304,8950,8629,7525,7774,7129,8057,8390,8530,9428,11209,12417,14258,14895,15283,16141,16011,16145,15206,16033,14631,14261,15096,14183,14456,13855,14345,15047,14394,13520,14044,13636,13545,12992,12509,12189,13083,13455,13491,14484,15152,15642,15851,15423,15374,15274,14520,15296,15611,13567,13494,13155,12901,13126,10092,9654,8631,4761,3581,2476,4321,8261,7956,8122,7780,7338,5260,4535,3771,3144,3212,2808,2752,2119,1891,1458,1160,798,532,336,221,103,67,41,28,70
8,Калужская область,2018,1050524,107.8,175078,583806,291640,11292,12618,13017,11805,11806,12055,11385,11214,10627,10630,10289,9544,9729,9722,9793,9552,9482,9120,8629,8688,8507,8788,9948,10167,10471,11903,13634,15547,16992,17705,19316,19024,18153,18012,18226,16765,16072,16762,15838,15969,15000,15425,15468,14535,14050,14354,13973,14243,13043,12956,12821,13215,14341,13849,15406,16077,16436,17560,16808,17625,16554,16276,15769,15193,13233,13365,12993,12691,12486,10260,9896,8372,5035,3769,3285,5260,7609,7398,7686,7709,7361,5550,4180,2729,2947,3053,2729,2788,1941,1700,1366,1115,789,633,355,211,82,65,35,19,56
9,Костромская область,2018,615718,109.6,113115,323753,178850,6481,7288,7600,7775,7868,8143,7651,7446,7423,7080,6814,6341,6499,6670,6158,5878,5686,5319,4573,4332,4239,4624,4797,5352,5264,5957,6853,7997,8698,9132,9911,9587,9405,9662,10165,9346,9120,9144,8998,9017,8512,8759,8603,8496,8165,8122,7781,7780,7419,7347,7166,7748,8433,8582,9343,9991,10724,11604,11013,11231,10556,9983,9899,9821,8465,8347,8022,8009,8046,5779,5609,4775,2649,1820,1513,2632,4694,4625,4964,4453,4041,2984,2726,2353,1919,1876,1604,1514,1198,1026,824,700,456,272,186,123,52,37,16,22,16
10,Курская область,2018,1111838,106.0,186620,605502,319716,10786,12649,13250,13183,13152,13470,13075,11660,11438,12124,11421,9963,9906,10490,10283,9770,9819,10161,9341,9568,9111,10004,10840,11250,11662,12227,13421,15366,16372,17253,18234,17988,17242,17629,17884,16617,15668,16722,15445,15450,15469,16039,15938,15241,14825,15082,14678,15235,13955,14078,13958,14896,15200,15316,17516,17841,18765,20209,19021,19563,18500,18414,17254,16603,14717,14766,13905,13342,14322,10999,9515,8909,4602,3793,3949,5985,8441,8290,8965,8914,7463,6536,4778,2844,2853,3481,2895,3020,2290,2009,1435,1077,819,606,328,228,112,65,34,8,53
11,Липецкая область,2018,1165762,107.8,198983,639486,327293,11725,13291,13801,13264,13148,13616,12609,12922,12533,13000,12371,11688,11586,11634,11074,10721,10151,10350,9354,9364,9020,9997,10998,11959,12000,12788,13785,16221,17047,18395,19543,19993,19251,19058,19655,18023,16841,17893,16885,17326,16457,16966,17221,16589,15676,15890,15829,16539,14865,15000,14569,14993,16093,15886,17792,17833,19109,20470,19340,19542,18536,18022,17711,16887,14540,15157,14390,14034,14672,11471,9757,9554,5476,3947,3766,6282,9328,8821,9411,8785,6985,6167,4842,3406,3145,3533,3186,2916,2333,2042,1634,1163,792,593,412,210,107,87,28,40,55
12,Московская область,2018,8088321,106.5,1440015,4669031,1979275,99773,112316,113307,107344,103957,102892,95213,90527,85748,83611,78291,74054,74224,70806,73367,74585,70309,77770,70784,67614,66579,76718,83825,74499,78532,90193,104402,135882,138979,141025,152000,155192,158236,146242,150445,143937,135359,155107,138647,133164,122203,130590,127125,119835,112770,113331,107173,119354,103958,103725,92798,95130,105599,100589,110881,111225,112371,128490,114434,114704,104489,108408,108297,104359,91832,92998,84974,86905,86579,69547,67588,62089,42122,27035,21718,32823,51589,52007,53490,50772,48601,35118,28521,20291,18339,20551,16935,16766,13013,11053,8452,6756,4691,3066,1994,1184,570,428,167,128,336
13,Орловская область,2018,744665,108.2,122267,404792,217606,7047,8103,8341,8146,8214,8458,7938,8032,7827,8043,7498,6871,6771,7053,7129,6796,6302,6605,6036,6451,6180,7110,7350,7930,8045,9292,9942,11207,11722,11568,11809,11617,11234,10996,11374,10767,10449,11189,10539,10791,10211,10598,10519,10358,9859,10048,10252,9953,9438,9161,9218,9665,10130,9886,11403,11436,12058,13123,12392,12832,12520,12402,11823,11456,9981,10186,9660,9434,10202,8197,7019,6136,3057,2719,2462,3921,5585,5184,6076,5958,4912,4273,3220,2076,2161,2389,2021,2028,1591,1403,1029,791,522,402,236,150,44,51,25,7,44
14,Рязанская область,2018,1129915,106.5,177272,612305,340338,10958,12663,12434,12338,12215,12266,11634,11176,10772,11447,10677,9456,9676,9892,10108,9560,9209,9391,9467,10109,9256,9996,10614,10589,10961,13073,14154,16298,16835,17942,19062,18193,17623,17873,17348,16755,16273,17006,16351,16085,15796,16090,15784,15888,15438,15747,15826,16334,14550,14428,14376,15098,14574,15189,16346,16979,18152,19469,18644,18763,18643,17569,17647,16894,15070,15292,14830,14896,15125,12299,11763,10284,5733,4171,3670,5977,10220,9570,10124,9560,8440,6403,5654,4076,3562,4094,3475,3128,2474,2175,1742,1330,1013,685,460,297,148,105,36,12,63
15,Смоленская область,2018,934754,108.7,146851,520393,267510,8788,9929,10066,10227,10099,10055,9980,9308,9350,9654,9079,8026,8012,8150,8155,7973,7652,7780,7744,7953,7767,8354,9058,9462,8940,10407,11671,13732,14649,15792,16865,16510,15599,15184,15627,14464,14184,15056,14066,14106,13582,13806,13494,13312,12942,12850,12693,12791,11925,11934,11854,12338,12563,13465,14130,14797,15779,16401,15259,16252,15800,15437,14784,14038,12580,12548,11625,12259,12032,9865,8963,6950,3982,3641,2919,4628,6272,6126,6500,6573,6293,4654,3587,2458,2407,2773,2473,2732,1806,1821,1217,1124,794,515,375,251,94,87,34,33,64
16,Тамбовская область,2018,1033035,106.7,149498,569521,314016,8524,9340,9800,9759,9715,9713,9456,9845,9518,9642,9345,8649,9033,9150,9161,8848,8978,9459,8482,8855,8738,9732,10722,10709,11108,11886,12886,14841,15350,16045,16758,16349,15971,15125,15445,14577,14328,15616,14490,14578,13884,14967,15236,14575,14248,14044,13932,14806,13853,13667,13236,14136,15099,14958,16466,16809,17400,19105,17906,18293,17356,17287,16547,15788,13786,14533,14282,13776,13913,11378,10088,8949,5378,3724,3517,5607,9360,9127,9127,8615,6617,5897,4750,3659,3035,3594,3159,2994,2440,2036,1633,1271,900,653,461,226,137,118,41,35,95
17,Тверская область,2018,1281220,109.8,212596,689659,378965,12692,14354,14488,14685,14686,15252,14442,13218,13016,13746,13155,11598,11744,11635,12065,11820,10910,10942,9959,9823,9321,10332,11135,11419,11998,13657,15733,18245,19552,20419,21598,21324,20853,20563,21043,19746,18912,19651,18659,18535,18165,18527,18625,17675,17031,17292,17013,17283,15771,15650,15467,16657,17137,17908,19017,19737,21389,22165,21134,21283,21009,20254,20217,19708,17873,17534,16479,17071,17088,13383,13000,11061,6350,4586,3536,5803,10366,9445,10705,9869,9844,6763,5674,4175,4053,4289,3698,3798,2865,2532,1929,1452,1092,720,493,313,163,67,19,36,57
18,Тульская область,2018,1532903,106.0,225981,839519,467403,13612,15727,16366,14928,14872,15231,14481,13998,14673,14366,13356,12723,12627,13075,13165,12781,12281,12176,11236,11806,11243,12359,13787,14484,14972,16457,18581,21434,23129,24216,26253,25795,24979,24923,25385,23871,23363,24529,23191,23206,22801,23217,23544,23169,22410,22749,22143,22530,19815,19546,18508,19338,20191,20022,22295,22664,23822,25860,24972,25568,25591,24829,23836,23845,21119,22010,20948,20804,21845,17692,15995,13665,8516,6141,5017,8826,12768,12375,13534,12835,12073,8780,6714,4703,4576,5213,4593,4541,3435,3069,2455,1846,1403,949,676,367,201,131,32,73,81
19,Ярославская область,2018,1251878,106.0,217635,676224,358019,13270,15235,15421,15191,15366,15175,14226,13893,13992,13437,12797,12110,12115,12232,11821,11354,11039,10337,10220,11106,10707,11019,11544,12076,11515,13511,15434,17722,18639,20359,21275,20716,20429,20016,20830,19319,18657,19396,18459,18587,18240,18379,18097,17637,17537,17479,17002,16898,15685,15132,15268,15726,16072,16444,17656,17834,18944,19498,18512,18426,18293,17808,18236,18229,16361,16572,16265,16412,16885,12505,12309,10964,6429,4687,3663,6241,10658,10036,10955,10037,9774,6271,5516,4212,3667,3777,3363,3233,2726,2332,1831,1506,1113,709,446,307,209,125,62,36,105
20,г. Москва,2018,12662615,109.6,1948923,7291599,3422093,130325,140891,140167,137009,136464,135322,128460,119100,118331,110615,102884,104984,111676,100894,116090,115711,105620,132873,129499,118105,118849,132647,137058,117354,120292,134995,153388,209149,209721,211702,223225,226975,245567,218919,225095,212461,203314,252640,205139,200796,182300,194788,200735,183089,176199,176506,168634,195583,164609,165321,147272,151327,173720,164627,182596,181737,183446,211593,185672,189299,173463,177555,175457,163207,146759,148042,138102,148282,140729,122787,127358,121252,87219,58608,43677,58114,86017,90200,93034,89791,92939,61186,51670,37901,34674,39308,32192,32413,25006,22173,18227,14621,11960,8551,6522,4236,2241,1544,614,365,1260
21,Северо-Западный федеральный округ,2018,13941643,109.0,2279749,7964071,3697823,140504,156986,162329,157629,154148,156377,147279,145142,142540,136921,130781,124313,125986,127757,136412,134645,129314,136290,133450,131160,122078,131599,137860,134274,135441,156764,181793,217381,230419,242231,256901,256287,256581,245732,249440,237363,224748,241180,219327,218143,207758,213608,209880,201967,194474,197109,189584,193330,177705,174806,168153,174357,186557,186910,198682,204407,213635,227918,212888,211194,205110,199965,201351,195057,174355,173965,166678,164371,164834,130507,126275,116636,76035,52555,38793,50579,85239,84885,96211,93008,92975,62569,52718,39402,36934,40115,33451,31321,24395,21330,16890,13350,9618,6604,4978,3404,1854,1046,500,360,993
22,Республика Карелия,2018,571854,111.1,98348,310954,162552,5297,6180,6470,6499,6316,6613,6212,6687,6683,6461,6129,5799,5859,6027,5646,5470,5007,4956,4408,4542,4360,4705,4790,4943,4925,5424,6121,7356,8115,8741,9559,9622,9183,9333,9407,9328,8789,8864,8569,8838,8583,8897,8797,8764,8174,8100,8072,7812,7134,7065,7124,7519,7637,8085,8619,8661,9711,10076,9620,9584,9191,8968,9099,9230,8152,7933,7674,7307,7594,5622,5417,4479,2704,2081,1533,2254,3943,3424,3977,3880,3804,2806,2497,1830,1691,1719,1491,1336,1027,860,598,531,368,208,149,93,62,18,13,12,12
23,Республика Коми,2018,795815,107.0,152791,456406,186618,8613,9693,10142,10486,10468,10216,9502,9983,9996,9881,9567,8837,8761,9135,8974,8537,7628,7268,6491,6733,6366,6792,7138,7501,7792,8506,9560,10481,11146,12428,13988,14587,14284,14388,14561,14156,13205,13629,12987,13042,12693,12901,12458,12173,11626,11879,11458,10871,10537,10304,10187,10566,11174,11410,12146,12661,13294,13836,13051,12858,12080,11366,11004,10852,9263,9274,8916,8557,8456,6126,5517,4718,2720,2045,1688,2752,3982,3916,4200,3829,3599,2657,2134,1660,1593,1551,1192,1041,886,811,531,460,302,213,151,105,48,34,23,12,20
24,Архангельская область,2018,1091130,110.6,201868,593436,295826,11350,12864,13088,13282,13284,13400,12825,13393,13342,12940,12872,11781,12016,12174,11661,11596,10681,9716,8100,8517,8030,8498,9222,9415,9293,10464,12353,14385,15710,17478,18798,18478,17638,17903,18742,18298,17190,17686,16963,17261,17148,17416,16921,16024,15043,15264,14142,13910,13132,12997,13337,13952,14420,14690,15698,16010,17463,18100,17405,17294,16949,16738,17350,17192,14871,14824,14236,13210,13701,9565,9714,8873,5014,3570,2997,4592,7603,6920,7573,6815,6561,4521,4015,3101,2917,3400,2382,2094,1675,1444,1112,893,619,366,264,177,84,51,31,31,32
25,Ненецкий автономный округ,2018,42050,110.0,9927,24253,7870,559,704,725,620,632,693,573,652,672,639,588,570,586,576,590,548,537,508,390,365,388,381,445,439,374,479,584,627,655,742,825,758,796,737,756,790,710,764,736,739,668,608,652,606,534,568,518,550,487,468,455,539,565,520,597,589,627,629,619,559,538,557,510,494,422,380,381,311,347,263,242,194,94,73,70,152,146,127,153,149,107,102,66,60,59,56,43,30,33,22,20,11,10,9,4,2,1,0,1,1,0
26,Архангельская область без автономии,2018,1049080,110.7,191941,569183,287956,10791,12160,12363,12662,12652,12707,12252,12741,12670,12301,12284,11211,11430,11598,11071,11048,10144,9208,7710,8152,7642,8117,8777,8976,8919,9985,11769,13758,15055,16736,17973,17720,16842,17166,17986,17508,16480,16922,16227,16522,16480,16808,16269,15418,14509,14696,13624,13360,12645,12529,12882,13413,13855,14170,15101,15421,16836,17471,16786,16735,16411,16181,16840,16698,14449,14444,13855,12899,13354,9302,9472,8679,4920,3497,2927,4440,7457,6793,7420,6666,6454,4419,3949,3041,2858,3344,2339,2064,1642,1422,1092,882,609,357,260,175,83,51,30,30,32
27,Вологодская область,2018,1176028,109.1,226998,639068,309962,13404,15648,16255,15969,16181,16507,15299,14259,14201,14011,13595,12758,12246,12545,12258,11862,10850,10587,9194,9487,9134,9955,10577,10975,11699,13179,14210,15845,17560,18626,20277,20106,19802,19545,20396,19970,18786,18890,17954,17854,17183,17159,16624,16098,15322,15210,14652,14252,13573,13383,13864,15009,15828,16713,17165,17485,18876,19702,19499,18837,18579,17658,18024,17600,15217,15033,14401,13832,14537,9511,9011,8398,4610,3236,2503,4259,8393,7006,8159,7110,6746,4652,4337,3197,3153,3410,3169,2812,2047,1865,1398,1092,774,520,348,263,108,79,23,27,41
28,Калининградская область,2018,996517,106.3,179053,566623,250841,10859,12224,12379,12389,12210,12122,11526,11081,11079,11197,10740,9867,9811,9910,10309,11350,10146,10315,9450,9352,8565,9261,10011,9581,10117,11824,14511,16467,16730,17453,17830,17597,17483,17107,16766,16058,15645,16726,15039,14944,14600,14797,14763,13957,14234,14351,13919,14067,12698,12742,11982,12175,12957,13280,13828,14243,14771,15662,14602,14710,13890,13879,13753,13456,12317,12408,12242,11714,11698,9390,8628,7280,4369,3401,2937,4112,5774,5942,6264,5898,5746,4340,3427,2384,2227,2366,1886,1982,1586,1320,1112,891,563,391,247,150,76,36,21,7,38
29,Ленинградская область,2018,1871350,107.9,263129,1093693,514528,14012,15746,17572,16199,16020,16748,16133,18613,18068,16727,15825,15534,16056,15779,16697,17400,17696,19509,18538,17070,15415,17229,18717,17809,18290,21192,24769,31277,32588,33680,35538,37181,38366,34135,34604,32606,30577,36001,30372,30901,27514,29086,29709,26848,25632,26072,24732,26126,23412,23026,21254,22445,26279,24047,26815,27641,29426,32675,29722,30415,28580,29353,28709,27795,25171,25319,23596,24124,23605,18250,17046,14850,9860,6894,5331,7418,11926,11725,13263,12693,12190,8594,7344,5194,4943,5417,4325,4212,3296,2820,2331,1666,1236,744,589,364,217,119,43,36,97
30,Мурманская область,2018,714710,108.4,133853,420439,160418,7638,8505,8868,9030,8940,9119,8743,9066,8768,8678,8385,7814,7346,7620,7581,7752,7409,7104,5465,5389,5104,5704,5978,6735,6517,7740,9861,11183,12118,13160,13818,13930,13256,13129,13317,12639,11977,12491,12022,12190,11957,12003,11623,11676,11223,11173,10608,10357,9718,9465,9232,9427,9549,9937,10423,10668,11091,11262,10694,10241,9767,9317,9454,9237,8387,8283,7828,7110,7319,5493,5163,4645,2772,2124,1609,2281,3811,3377,3612,3325,3217,2250,1872,1339,1055,1178,939,848,664,611,468,360,224,145,78,70,30,12,5,5,10
31,Новгородская область,2018,603661,104.0,107259,319734,176668,6364,7169,7425,7368,7310,7524,7049,6943,6822,6774,6706,6175,5927,6112,5814,5777,5285,4819,4536,5096,4673,4933,5321,5677,5174,6006,6962,8119,8856,9366,10531,9945,9615,9510,9801,9585,8754,9330,8740,8673,8362,8606,8631,8169,7902,7963,7733,7845,7158,7095,7319,7762,8133,8248,8684,9427,9344,9614,10108,10472,10181,9902,9104,8974,8087,7884,8219,7988,8150,6178,5744,4929,3096,2297,1816,2629,4957,4130,4828,4564,4376,3137,2660,2034,1983,2031,1787,1614,1254,1140,907,603,443,328,197,136,93,56,27,20,37
32,Псковская область,2018,625776,110.2,102395,336514,186867,5929,6845,7016,6779,6807,6894,6709,6398,6396,6436,6311,5776,5826,5976,5987,6310,6135,5494,4677,4866,4733,5105,5585,5644,5828,6807,8187,9401,9499,9852,10438,10274,9743,9540,9787,9704,8966,9197,8605,8729,8673,8929,8765,8577,8332,8590,8507,8512,7842,7785,7727,8149,8559,8793,9367,9741,10124,10928,10397,10900,10661,10044,9981,9766,8825,9008,8588,8720,8708,6680,6004,4934,3154,2708,2073,3054,4840,4257,4795,4564,4392,3419,2741,2033,2019,2304,1839,1752,1284,1186,849,769,489,367,233,156,75,48,18,24,27
33,г. Санкт-Петербург,2018,5494802,109.1,814055,3227204,1453543,57038,62112,63114,59628,56612,57234,53281,48719,47185,43816,40651,39972,42138,42479,51485,48591,48477,56522,62591,60108,55698,59417,60521,55994,55806,65622,75259,92867,98097,101447,106124,104567,107211,101142,102059,95019,90859,98366,88076,85711,81045,83814,81589,79681,76986,78507,75761,79578,72501,70944,66127,67353,72021,71707,75937,77870,79535,86063,77790,75883,75232,72740,74873,70955,64065,63999,60978,61809,61066,53692,54031,53530,37736,24199,16306,17228,30010,34188,39540,40330,42344,26193,21691,16630,15353,16739,14441,13630,10676,9273,7584,6085,4600,3322,2722,1890,1061,593,296,186,679
